Investor,RemunerationPolicy
Irish Life Investment Managers Ltd,"**Irish Life Investment Managers Ltd Voting Policy on Remuneration**

- **General Approach:** ILIM believes that remuneration should be fair, appropriate, competitive, and aligned with the long-term interests of shareholders and other providers of capital. Adherence with local market best practices is expected.

- **Salary Caps and Bonuses:** Not mentioned.

- **Long-Term Incentive Plans (LTIPs) and Stock Options:** Not mentioned.

- **Performance Alignment:** ILIM considers performance targets, including the inclusion of ESG metrics and targets that align over the long term, as part of remuneration assessment. Shareholding guidelines for executives and malus and clawback mechanisms are considered.

- **Clawbacks:** Present; malus and clawback mechanisms are considered important elements of remuneration plans.

- **ESG-Based Remuneration:** ILIM expects pay and incentives for directors and/or senior managers to be linked to company-wide ESG performance. Transparency and disclosure of pay ratios, including CEO pay ratios, gender and ethnic pay gaps, are encouraged.

- **Voting Considerations:**
  - Remuneration Committees must be held accountable for pay plan outcomes; voting against members if executive interests are prioritized over shareholders.
  - Transparency in decision-making by Remuneration Committees, especially where discretion is exercised, is encouraged.
  - Shareholder votes on remuneration policies (“Say on Pay”) should occur on an annual basis.

- **In summary:** ILIM supports transparent, fair, and aligned remuneration policies linked to long-term shareholder interests and ESG performance, with accountability enforced through voting sanctions where necessary."
JPMorgan Asset Management (UK) Ltd,"**JPMorgan Asset Management (UK) Ltd Voting Policy on Remuneration**

- **General Approach:** Remuneration should attract, retain, and reward executives fundamental to the company's long-term success; it should be clear, transparent, simple to understand, and fully disclosed to shareholders.

- **Salary Caps and Bonuses:** Annual salary increases should be limited and generally in line with the wider workforce; substantial increases require full justification. Bonuses should be benchmarked against the sector, disclosed pre- and post-award, paid partly in cash and deferred shares, and include clawback arrangements. Transaction bonuses, one-off retention awards, or retrospective ex-gratia payments are not acceptable and will be opposed.

- **Long-Term Incentive Plans (LTIPs) and Stock Options:** LTIPs and Share Option Schemes must include performance criteria aligned with long-term strategy; awards below median performance should yield no payout, and at-median awards should be modest. There should be limits on dilution and upper performance caps or tapering for awards. Re-setting, cancellation/re-issue, re-pricing, backdating, or discounted awards will generally be opposed. Non-executive directors should not receive share options or performance-based awards.

- **Performance Alignment:** Executive remuneration must fully align with shareholder interests through well-defined and challenging performance metrics. Awards are only appropriate for superior performance and must be disclosed fully, including metrics, vesting, and holding expectations. Executives should be encouraged to hold meaningful company stock during tenure.

- **Clawbacks:** Clawback arrangements should be a feature of any variable compensation scheme to avoid payment for failure.

- **ESG-Based Remuneration:** Not mentioned.

- **Voting Considerations:**
  - Remuneration policies should be presented as a separate voting item where possible.
  - Remuneration committees should be majority-independent with an independent chair.
  - Oppose remuneration awards considered excessive or with undemanding performance criteria; expect explanations on challenge level and alignment with long-term shareholder interests.

- **In summary:** Remuneration must be clearly disclosed, performance-linked, aligned with shareholder interests, and controlled through independent committees to support long-term company success."
Jennison Associates LLC,"**Jennison Associates LLC Voting Policy on Remuneration**

- **General Approach:** Jennison votes proxies in clients’ best long-term economic interests, considering ESG issues consistent with fiduciary duties and maximizing shareholder value.  
- **Salary Caps and Bonuses:** Not mentioned  
- **Long-Term Incentive Plans (LTIPs) and Stock Options:** Not mentioned  
- **Performance Alignment:** Not mentioned  
- **Clawbacks:** Not mentioned  
- **ESG-Based Remuneration:** ESG issues are considered in voting consistent with fiduciary duties and maximizing shareholder value.  
- **Voting Considerations:**
  - Accuracy of the application of Custom Guidelines  
  - Performance of the proxy voting vendor  
  - Accuracy and completeness of research reports and engagement with issuers  
- **In summary:** Jennison prioritizes clients’ long-term economic interests and fiduciary duties, integrating ESG considerations and ensuring thorough review of proxy voting processes."
Janus Henderson Investors,"**Janus Henderson Investors Voting Policy on Remuneration**

- **General Approach:** Executive and key executive compensation should be aligned with shareholders’ interests; share-based compensation performance criteria should be demanding; contracts should avoid ‘payment for failure’; share-based compensation requires shareholder approval.

- **Salary Caps and Bonuses:** Not mentioned

- **Long-Term Incentive Plans (LTIPs) and Stock Options:** Generally support equity-based compensation plans unless they lead to misalignment with long-term share performance or include problematic features such as re-pricing of underwater options or automatic replenishment; support proposals requiring option expensing and oppose option repricing; support employee stock option and stock purchase plans unless discounted excessively or excessively dilutive; no numeric dilution limits explicitly mentioned.

- **Performance Alignment:** Support use of performance conditions aligning interests of participants with shareholders; require demanding performance criteria for share-based compensation; recommend meaningful share ownership requirements for directors and senior executives; holding periods considered; no detailed metrics specified.

- **Clawbacks:** Not mentioned

- **ESG-Based Remuneration:** Not mentioned

- **Voting Considerations:**
  - Problematic features including re-pricing of underwater options and evergreen/reload options.
  - Excessive dilution and issue price relative to market price.
  - Alignment of performance conditions with shareholder interests.

- **In summary:** Janus Henderson Investors supports well-structured executive remuneration aligned with shareholder interests, with shareholder approval and oversight to prevent problematic practices."
Jupiter Asset Management Ltd,"**Jupiter Asset Management Ltd Voting Policy on Remuneration**

- **General Approach:** Remuneration structures should attract, retain and reward talent for performance, incentivise the right behaviours, align with shareholders and stakeholders, and help drive the business forward.
- **Salary Caps and Bonuses:** Not mentioned
- **Long-Term Incentive Plans (LTIPs) and Stock Options:** Vote against LTIPs with vesting periods under three years; typically vote against share issuance under incentive schemes deemed overly dilutive without credible rationale; do not support adjustment or retesting of performance conditions on in-flight LTIPs unless credible explanation and extenuating circumstances are provided.
- **Performance Alignment:** Expect transparent performance hurdles; vote against remuneration where local market best practice disclosures on performance criteria are not met or insufficiently explained; urge inclusion of challenging ESG metrics relevant to company and shareholders; vote against pay proposals where outcomes do not reflect shareholder experience or where major stakeholder incidents related to conduct, culture, or regulation have occurred.
- **Clawbacks:** Not mentioned
- **ESG-Based Remuneration:** Support inclusion of ESG metrics in incentive schemes as an emerging area requiring measured and challenging hurdles relevant to company business model and management.
- **Voting Considerations:**
  - Vote against remuneration items with severance terms incongruous with shareholder outcomes or leading to ‘golden parachutes.’
  - Vote against remuneration committee members where pay outcomes do not align with shareholder experience or stakeholder incidents.
  - Vote against remuneration items lacking transparency on performance hurdles or local best practice disclosures.
- **In summary:** Jupiter expects transparent, performance-linked remuneration aligned with shareholder interests and supports incorporating ESG metrics while opposing short vesting periods, excessive dilution, and misaligned severance terms."
LGPS Central,"**LGPS Central Voting Policy on Remuneration**

- **General Approach:** Remuneration should attract, retain, and motivate individuals suited to managing the company without being excessive or unfair. Structures should be simple, with clear lines of sight through to objectives, considered in the context of overall workforce pay and the company’s long-term financial needs.

- **Salary Caps and Bonuses:** Base salary should reflect role and responsibility with no significant increase without clear, exceptional justification. Salary benchmarking should occur at most every three years. Salary increases should consider median worker wage increases. Maximum and target awards under bonus and incentive plans should be clear and include upward discretion.

- **Long-Term Incentive Plans (LTIPs) and Stock Options:** Supports departure from traditional LTIPs to alternatives like deferred share plans with extensive disclosure of alignment to business models and company strategy. Avoid having more than one active incentive plan. Performance measurement and vesting periods must be at least three years. Awards post-change of control must be pro-rata for time and performance and should not automatically vest. Share-based awards should not cause excessive dilution; exceptions require shareholder approval.

- **Performance Alignment:** Variable pay targets should relate to shareholder return, business strategy, and include financial and non-financial measures. Performance conditions should ensure no reward for failure with clawback and malus provisions applied. Companies with high ESG risk should use ESG metrics with appropriate weightings. Performance targets for current and next year should be disclosed, including rationale and comparator groups.

- **Clawbacks:** Present. Clawback and malus provisions should be designed and applied to performance awards.

- **ESG-Based Remuneration:** Companies with high ESG risk should embed robust ESG metrics into pay structures and explain their relevance to strategy. Executive pensions aligned to wider workforce; variable pay is not pensionable. Disclosure of gender pay gap and workforce diversity encouraged. Net-zero by 2050 targets expected with advisory votes every three years.

- **Voting Considerations:**
  - Alignment of remuneration with company strategy and business model.
  - Clear and understandable remuneration structures with shareholder engagement and transparency.
  - Avoidance of excessive dilution from share-based awards and ensuring appropriate handling of change of control awards.

- **In summary:** Remuneration policies must ensure fair, performance-aligned pay with transparency, shareholder engagement, and ESG considerations embedded."
La Francaise Asset Management,"**La Francaise Asset Management Voting Policy on Remuneration**

- **General Approach:** LFAM and LF SAM focus on clear and comprehensive remuneration information, appropriate long-term value creation, avoiding rewarding failure, ensuring independent remuneration committees, and preventing unjustified director remuneration.

- **Salary Caps and Bonuses:** Not mentioned.

- **Long-Term Incentive Plans (LTIPs) and Stock Options:** The volume of share-based remuneration plans must not exceed 10% of the share capital. All companies that have signed the AFEP-MEDEF code must make the entire variable portion of remuneration conditional on performance criteria; other companies must ensure at least part of variable remuneration is subject to performance criteria. Not mentioned: dilution limits or repricing/strike price rules.

- **Performance Alignment:**  
  - Remuneration must link clearly to company performance including financial and non-financial metrics; ESG criteria are relevant if aligned with company objectives.  
  - Performance conditions in LTIPs must be in place and disclosed.  
  - Discretionary adjustments must be clearly defined, limited, and explained.  
  - Compensation committees should ensure variable pay balance favors long-term incentives.  
  - Pay-for-performance analyzed including peer alignment and absolute alignment over 3 to 5 years.  
  - Holding requirements post-exercise/settlement may apply (noted for S&P/TSX Composite Index).
  
- **Clawbacks:** Not mentioned.

- **ESG-Based Remuneration:** Not mentioned explicitly; the policy integrates ESG issues broadly but no specific ESG-based remuneration details provided.

- **Voting Considerations:**
  - Vote against remuneration report or policy if no clear CEO shareholding guidelines or if pay ratio (highest to median salary) is not published.
  - Vote against remuneration committee members if committee has less than 50% independent directors.
  - Vote against undue remuneration of non-executive directors and favor remuneration in cash where applicable.

- **In summary:** LFAM and LF SAM emphasize transparency, performance-based pay, committee independence, and shareholder-aligned remuneration with a maximum 10% share capital limit on share-based plans."
La Banque Postale,"**La Banque Postale Asset Management SA Voting Policy on Remuneration**

- **General Approach:** The policy promotes best practices in corporate governance and business ethics, encourages transparency in remuneration, and integrates environmental, social, and governance issues.

- **Salary Caps and Bonuses:**  
  Caps are set at 240 times the median salary in the company’s country for large caps and 120 times for small and mid caps. Severance pay should consider tenure and contribution; no severance if remuneration exceeds these caps. Severance and non-competition indemnities should not exceed twice the annual total remuneration.

- **Long-Term Incentive Plans (LTIPs) and Stock Options:**  
  Total LTIPs must not exceed 10% dilution of capital. LTIPs should have at least a 3-year performance period. Grants must depend on objective, demanding, and relevant performance criteria, performance conditions cannot be changed after grant without explanation, no discount on options, and awards can be cancelled for ethical breaches. Plans for executives are encouraged to have a total duration of at least 5 years (evaluation plus vesting).

- **Performance Alignment:**  
  Performance criteria must be linked to long-term financial and extra-financial value creation with demanding targets. Extra-financial (ESG) criteria must be transparent, relevant, and integrated into variable compensation for both short and long term.

- **Clawbacks:**  
  Present—awards can be cancelled in case of serious ethical breaches or damage to company reputation. Unvested payments should be cancelled if the executive leaves, unless departure is forced and performance conditions are met with prorated reduction.

- **ESG-Based Remuneration:**  
  ESG (extra-financial) criteria must be included in variable compensation. The policy supports integration of CSR criteria in remuneration and inclusion of environmental objectives linked to the company’s strategy in executive pay.

- **Voting Considerations:**  
  - Transparency and balance in remuneration structure, ensuring fixed and variable parts are properly calibrated and short-term bonuses do not exceed long-term variable remuneration.  
  - Support for pay ratio publication relating executive pay to employees.  
  - Opposition to remuneration of non-executive directors that depends on company performance and against excessive concentration of LTIP grants.

- **In summary:** The policy emphasizes transparency, balanced pay structures capped by salary multiples, strong alignment with long-term financial and ESG performance, and clawbacks for ethical breaches to promote responsible executive remuneration."
Legal & General,"**Legal & General Voting Policy on Remuneration**

- **General Approach:** Voting decisions are made by LGIM’s Investment Stewardship team based on annual-reviewed governance and responsible investment policies, integrating company engagement with voting decisions.
- **Salary Caps and Bonuses:** Not mentioned
- **Long-Term Incentive Plans (LTIPs) and Stock Options:** Not mentioned
- **Performance Alignment:** Not mentioned
- **Clawbacks:** Not mentioned
- **ESG-Based Remuneration:** Voting policies incorporate proprietary ESG assessment tools and custom global voting instructions to uphold minimum best practice standards related to ESG.
- **Voting Considerations:**
  - Voting decisions integrate direct company engagement and additional information from reports.
  - Custom voting policies are applied globally with minimum governance standards, regardless of local practice.
  - LGIM retains the ability to override proxy provider decisions based on qualitative judgment.
- **In summary:** LGIM employs integrated engagement and proprietary ESG-based policies with global best practice standards to guide remuneration-related voting decisions."
Lazard Asset Management LLC,"**Lazard Asset Management LLC Voting Policy on Remuneration**

- **General Approach:** Lazard supports compensation and incentive programs that attract and retain top management and align interests of boards, management, and employees with long-term shareholders. Compensation should reward positive and sustained, long-term performance while considering appropriateness relative to the company's circumstances.

- **Salary Caps and Bonuses:** Not mentioned

- **Long-Term Incentive Plans (LTIPs) and Stock Options:** Lazard generally supports employee stock purchase plans, deferred compensation plans, stock option plans, and stock appreciation rights plans that serve long-term shareholder interests. Lazard opposes proposals to re-price underwater options.

- **Performance Alignment:** Lazard considers performance criteria important, generally voting case-by-case on restricted stock plans that lack defined performance criteria.

- **Clawbacks:** Not mentioned

- **ESG-Based Remuneration:** Not mentioned

- **Voting Considerations:**
  - Alignment of executive remuneration with shareholder interests, supporting fair and transparent pay.
  - Level of dissent on previous Say on Pay votes.
  - Individual accountability, including holding Compensation Committee Chairs accountable when weaknesses exist.

- **In summary:** Lazard evaluates remuneration policies and programs to support long-term shareholder interests with an emphasis on alignment, transparency, and accountability."
Liontrust Sustainable Investments,"**Liontrust Sustainable Investments Voting Policy on Remuneration**

- **General Approach:** Assessment follows Global Principles emphasizing clear disclosure, appropriate pay structure aligned with long-term shareholder value, avoidance of ""pay for failure"" arrangements, independent and effective compensation committees, and avoidance of inappropriate pay to non-executive directors.

- **Salary Caps and Bonuses:** Termination payments must not exceed 24 months’ pay or more restrictive local provisions. Guaranteed or discretionary compensation is to be avoided. Significant pay increases require detailed, compelling disclosure.

- **Long-Term Incentive Plans (LTIPs) and Stock Options:**  
  - Award volume must not exceed 5% of issued share capital; up to 10% allowed for high-growth or strong plans.  
  - Vesting must occur no earlier than three years after grant; performance criteria should be measurable, quantifiable, long-term oriented, and fully disclosed.  
  - Awards must be granted at market price; discounts require justification and performance criteria.  
  - Dilution limits: generally not over 5% for mature companies, 10% for growth companies.  
  - Repricing without shareholder approval and strike prices below market grant price are prohibited (exceptions for special dividends).  
  - Share matching plans for executives require holding periods and challenging performance criteria; for all employees, max 1:1 free share ratio if no performance criteria.  
  - Clawback provisions applicable to equity awards are expected. 

- **Performance Alignment:**  
  - Remuneration must link clearly to company performance including financial and non-financial metrics; ESG criteria are relevant if aligned with company objectives.  
  - Performance conditions in LTIPs must be in place and disclosed.  
  - Discretionary adjustments must be clearly defined, limited, and explained.  
  - Compensation committees should ensure variable pay balance favors long-term incentives.  
  - Pay-for-performance analyzed including peer alignment and absolute alignment over 3 to 5 years.  
  - Holding requirements post-exercise/settlement may apply (noted for S&P/TSX Composite Index).

- **Clawbacks:** Present and expected on equity awards.

- **ESG-Based Remuneration:**  
  - Compensation committees should disclose how ESG factors have been considered in determining remuneration outcomes, including workplace incidents, environmental events, regulatory fines, and legal judgments.  
  - ESG criteria can be part of variable incentives when aligned with company purpose and objectives.

- **Voting Considerations:**  
  - Clear, comprehensive compensation disclosure enabling informed shareholder decisions.  
  - Independent, effective compensation committees with no executives serving; majority independence required in some markets.  
  - Avoid problematic pay practices such as excessive inducement grants, pay for failure, pension arrangements adverse to shareholders, inappropriate non-executive director pay, or lack of responsiveness to shareholder concerns.

- **In summary:** Liontrust applies rigorous, principle-based evaluation focusing on disclosure, performance alignment, pay structure integrity, committee effectiveness, and ESG integration to promote long-term shareholder value in remuneration policies."
"Loomis, Sayles & Co","**Loomis, Sayles & Co Voting Policy on Remuneration**

- **General Approach:** Compensation and benefit plans must align executives’ and employees’ interests with those of shareholders.
- **Salary Caps and Bonuses:** Not mentioned.
- **Long-Term Incentive Plans (LTIPs) and Stock Options:** Vote against stock option plans permitting repricing of underwater options; against performance-based-only stock option plans; against plans causing earnings dilution above company-specific caps considered by the Proxy Voting Service.
- **Performance Alignment:** Not mentioned.
- **Clawbacks:** Not mentioned.
- **ESG-Based Remuneration:** Not mentioned.
- **Voting Considerations:**
  - Vote for proposals to implement 401(k) savings plans for employees.
  - Vote for shareholder proposals seeking additional disclosure of executive and director pay.
  - Review proposals on executive compensation in change of control situations on a case-by-case basis.
- **In summary:** Loomis Sayles votes to ensure compensation aligns with shareholder interests, relying primarily on Proxy Voting Service recommendations and evaluating certain remuneration matters case-by-case."
M&G Investment Management Ltd,"**M&G Investment Management Ltd Voting Policy on Remuneration**

- **General Approach:** Support long-term value creation; vote against proposals that compromise clients’ interests or lack adequate disclosure; seek dialogue with company management on contentious resolutions.  
- **Salary Caps and Bonuses:** Not mentioned  
- **Long-Term Incentive Plans (LTIPs) and Stock Options:** Not mentioned  
- **Performance Alignment:** ESG-metrics in executive incentive schemes are among shareholder proposals typically supported.  
- **Clawbacks:** Not mentioned  
- **ESG-Based Remuneration:** Companies exposed to significant climate risks should incentivise directors on environmental targets; failure to address climate change at board level may lead to votes against directors, remuneration policy, report, or remuneration committee chair.  
- **Voting Considerations:**
  - Support shareholder rights to call special meetings with appropriate ownership thresholds and oppose limitations on those rights.  
  - Consider opposing bundled resolutions that reduce individual director accountability.  
  - Oppose policies, arrangements, and disclosures below voting guidelines or local market standards; may abstain where concerns exist but changes have been made.  
- **In summary:** Voting is actively managed to protect client interests, encourage good governance, and support remuneration aligned with long-term and ESG-related performance."
Lombard Odier Investment Managers,"**Lombard Odier Investment Managers Voting Policy on Remuneration**

- **General Approach:** Support sustainable long-term value through sound and solid corporate governance; align pay with performance and stakeholder interests.  
- **Salary Caps and Bonuses:** Policies should include a maximum cap for variable pay; pay should mirror shareholders’ experience and workforce pay structures; clear rationale required for salary increases not aligned with workforce; pension contributions excluded from variable pay and aligned with workforce; restraint expected on recruitment and departure packages including buy-outs and severance.  
- **Long-Term Incentive Plans (LTIPs) and Stock Options:** Vesting subject to performance conditions with a minimum three-year performance period and preferably an additional two-year holding period; prefer LTIPs to include stretching targets; restricted share plans require at least 50% discount to previous LTIP quantum or clear rationale; no explicit numeric dilution limits mentioned; accelerated vesting without regard for time and performance not supported.  
- **Performance Alignment:** Strong alignment between pay and performance required; policies must have a clear mix of financial and non-financial metrics with quantitative targets and disclosure of actual performance; malus and clawback provisions expected; linkage to company strategy and sustainability objectives required.  
- **Clawbacks:** Present with malus provisions; applicable for gross misconduct, financial misstatements (including climate risks), bribery, corruption; minimum application period of two years post-award.  
- **ESG-Based Remuneration:** Expected inclusion of sustainability criteria and metrics in remuneration packages; link remuneration to sustainability strategy and execution; remunerations committees should identify key sustainability drivers under executive control with measurable KPIs; absence of ESG metrics may trigger votes against remuneration resolutions.  
- **Voting Considerations:**
  - Vote against remuneration resolutions if pay-performance alignment is lacking, discretion unexplained, cap on variable pay absent, or sustainability metrics lacking.  
  - Vote against remuneration committee members if disclosures inadequate to assess pay-performance linkage or sustainability targets are omitted.  
  - Vote against remuneration policies/reports if severance not prorated, buy-outs not like-for-like, exceptional one-offs or retention awards granted, or pension contributions misaligned with workforce.  
- **In summary:** Remuneration policies must demonstrate clear pay-for-performance alignment, incorporate sustainability metrics, maintain transparency, and exercise restraint on exceptional payments to support long-term shareholder and stakeholder interests."
Manulife Investment Management (US) LLC,"**Manulife Investment Management (US) LLC Voting Policy on Remuneration**

- **General Approach:** Manulife IM supports management’s voting recommendations as part of an active investment conviction but considers multiple factors and may deviate from guidelines if deemed in clients' best interests.  
- **Salary Caps and Bonuses:** Not mentioned  
- **Long-Term Incentive Plans (LTIPs) and Stock Options:** Not mentioned  
- **Performance Alignment:** Not mentioned  
- **Clawbacks:** Not mentioned  
- **ESG-Based Remuneration:** Not mentioned  
- **Voting Considerations:**
  - Support management's recommendations as one factor among many  
  - Exercise fiduciary duty focused on clients' best long-term interests  
  - May deviate from guidelines based on investment professional judgment  
- **In summary:** Voting decisions balance management recommendations with fiduciary duties and may differ to serve clients' best interests."
Mackenzie Financial Corp,"**Mackenzie Financial Corp Voting Policy on Remuneration**

- **General Approach:** Voting decisions for securities in sub-advised accounts are made by sub-advisors on a fully discretionary basis according to their own proxy voting policies, which Mackenzie obtains and reviews annually.
- **Salary Caps and Bonuses:** Not mentioned
- **Long-Term Incentive Plans (LTIPs) and Stock Options:** Not mentioned
- **Performance Alignment:** Not mentioned
- **Clawbacks:** Not mentioned
- **ESG-Based Remuneration:** Voting for sustainable investment solutions is informed by Glass Lewis ESG Initiatives guidelines, which focus on relevant sustainability or ESG topics and override standard guidelines.
- **Voting Considerations:**
  - Standard votes are guided by market/geography specific Glass Lewis guidelines considering financial materiality.
  - Sustainable investment votes follow the Glass Lewis ESG Thematic Voting Policy.
  - Significant shareholder proposals are considered on a case-by-case basis.
- **In summary:** Sub-advisors have full voting discretion guided by proprietary policies and Glass Lewis frameworks, with special ESG considerations and case-by-case shareholder proposal evaluations."
MEAG MUNICH ERGO Kapitalanlagegesellschaft mbH,"**MEAG MUNICH ERGO Kapitalanlagegesellschaft mbH Voting Policy on Remuneration**

- **General Approach:** MEAG supports remuneration systems that promote sustainable, long-term development of Portfolio Companies and align with business strategy, market standards, and investor interests. Transparency and independent determination of remuneration are required.
- **Salary Caps and Bonuses:** The proportion of fixed remuneration should not exceed intended short-term and long-term variable remuneration; special bonuses beyond assumed obligations are not approved; non-performance-related or disproportionate remuneration or severance payments are not accepted.
- **Long-Term Incentive Plans (LTIPs) and Stock Options:** Stock option plans should not exceed a dilution limit of 10%; stock options must not be issued jointly for management and employees; no explicit mention of rules on repricing or strike price.
- **Performance Alignment:** Performance parameters must be set annually for each management board member, align with strategic objectives, include sustainability orientation with explicit ESG factors (especially climate-related), differ between short- and long-term incentives, and include at least three criteria in total; variable remuneration should not be exclusively linked to stock price and should not lack bonus and malus components.
- **Clawbacks:** Absence of a claw-back mechanism for remuneration components paid out is a negative factor; therefore, clawback mechanisms are expected.
- **ESG-Based Remuneration:** Explicit ESG factors (particularly climate change) should be included in remuneration performance parameters; absence of ESG oversight or designation of ESG responsibility is negatively viewed; MEAG supports shareholder proposals for including ESG criteria in remuneration.
- **Voting Considerations:**
  - Non-approval if the remuneration system deviates from relevant industry standards such as corporate governance codes.
  - Non-approval if remuneration systems lack transparency or fail to disclose performance parameters adequately.
  - Non-approval if remuneration systems allow discretionary powers increasing variable remuneration above 20% or lack obligations like share ownership guidelines.
- **In summary:** MEAG’s remuneration voting policy emphasizes transparent, performance- and ESG-aligned pay structures that promote sustainable long-term value creation and adhere to industry best practices."
Marathon Asset Management,"**Marathon Asset Management Voting Policy on Remuneration**

- **General Approach:** Marathon evaluates remuneration proposals case-by-case, seeking incentive schemes aligned with clients’ long-term interests, balancing risk and reward, and considering management quality.

- **Salary Caps and Bonuses:** Not mentioned

- **Long-Term Incentive Plans (LTIPs) and Stock Options:** Marathon is critical of stock-based compensation and options due to volatility and expenses; prefers schemes encouraging CEOs to invest their own money, such as share matching doubling investors’ yield, to promote true ownership.

- **Performance Alignment:** Not mentioned explicitly; however, Marathon seeks incentive schemes that align with client interests and make managers behave like owners.

- **Clawbacks:** Not mentioned

- **ESG-Based Remuneration:** Not mentioned

- **Voting Considerations:**
  - Incentive schemes must balance risk and reward over the long term.
  - Compensation should be equitable, proportionate, and competitive.
  - Large CEO shareholdings encouraged to align interests with shareholders.

- **In summary:** Marathon adopts a discerning and engagement-focused approach to remuneration, prioritizing schemes that promote long-term shareholder alignment through real ownership."
Martin Currie Investment Management Limited,"**Martin Currie Investment Management Limited Voting Policy on Remuneration**

- **General Approach:** Remuneration should align with company strategy and purpose, support long-term value creation, and align with shareholder interests. Disclosure should be timely, clear, and understandable.  
- **Salary Caps and Bonuses:** Not mentioned  
- **Long-Term Incentive Plans (LTIPs) and Stock Options:** Non-Executive Director remuneration may include equity-based remuneration with adequate safeguards; remuneration committees should use discretion to ensure awards reflect business performance. Dilution limits mention that routine authority to disapply pre-emption rights should not exceed 10% of ordinary share capital in any one year.  
- **Performance Alignment:** Executive and non-executive directors should make material long-term investments in company shares or have safeguards to ensure alignment with shareholders. Remuneration committees should ensure awards reflect business performance.  
- **Clawbacks:** Not mentioned  
- **ESG-Based Remuneration:** Not mentioned  
- **Voting Considerations:**
  - Appropriateness of remuneration decisions  
  - Remuneration committee composition (ideally fully independent non-executives)  
  - Use of discretion by remuneration committees should be adequately explained and reflect business performance  
- **In summary:** Remuneration policies must promote long-term value creation, transparency, alignment with shareholder interests, and be overseen by independent committees with appropriate discretion."
Mediolanum International Funds Ltd,"**Mediolanum International Funds Ltd Voting Policy on Remuneration**

- **General Approach:** MIFL integrates ESG factors into remuneration reviews, expecting a link between pay and environmental considerations; executives should be incentivized to mitigate climate impact.

- **Salary Caps and Bonuses:** Not mentioned

- **Long-Term Incentive Plans (LTIPs) and Stock Options:** Voted against 28 remuneration proposals allowing retesting of performance conditions and 3 proposals allowing repricing or replacement of underwater options.

- **Performance Alignment:** Voted against 265 proposals for performance periods being too short; expects remuneration programs to incentivize mitigation of material environmental and social risks; no other specific hurdle metrics mentioned.

- **Clawbacks:** Not mentioned

- **ESG-Based Remuneration:** Companies must link remuneration to environmental factors; voted against 2 companies for failing to incentivize mitigation of climate-related issues and 242 for failing to incentivize mitigation of material environmental and social risks.

- **Voting Considerations:**
  - Performance period length and vesting conditions.
  - Repricing or retesting provisions for LTIPs and options.
  - Integration of climate and ESG risk mitigation in remuneration incentives.

- **In summary:** MIFL’s remuneration voting policy emphasizes ESG integration, discourages lenient LTIP provisions, and demands meaningful performance alignment with environmental and social risk mitigation."
Massachusetts Financial Services,"**Massachusetts Financial Services Voting Policy on Remuneration**

- **General Approach:** MFS believes competitive compensation packages are necessary to attract, motivate, and retain executives and seeks plans geared towards durable long-term value creation aligned with shareholder interests.

- **Salary Caps and Bonuses:** Not mentioned.

- **Long-Term Incentive Plans (LTIPs) and Stock Options:** MFS generally votes against stock plans if aggregate dilution exceeds approximately 15% or 10% for S&P 100 U.S. issuers; opposes plans allowing repricing of underwater options or automatic share replenishment without shareholder approval.

- **Performance Alignment:** Plans should have clear, suitably ambitious, measurable performance conditions and a substantial majority weighting to quantitative metrics; awards should be paid in shares with long performance periods (e.g., at least three years); executive share ownership should be meaningful; discretion in awards should be responsible and justified.

- **Clawbacks:** MFS may support shareholder proposals requiring the issuer to adopt policies to recover performance-based bonuses and awards not earned due to significant negative restatement of earnings, misconduct, or corporate failure unless a satisfactory policy exists.

- **ESG-Based Remuneration:** No formal guideline on ESG incentives in compensation; if included, incentive weighting should be appropriately balanced with other strategic priorities.

- **Voting Considerations:**
  - Opposition to executive compensation practices not geared toward durable long-term value creation or misaligned with clients' long-term economic interests.
  - Possible votes against compensation/remuneration committee nominees if there are consecutive pay vote failures, egregious pay practices, inadequate oversight, or lack of advisory pay votes.
  - Support for advisory shareholder votes on executive compensation annually and selective support for shareholder proposals that impose reasonable limits on severance packages, prohibit option backdating, or limit acceleration of equity awards on change-in-control.

- **In summary:** MFS supports competitive, performance-aligned, transparent executive compensation frameworks that foster long-term shareholder value and may oppose plans or practices that cause excessive dilution, unjustified awards, or misalignment with shareholder interests."
